stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
H1te186a,,"TERTRE Hôme Les Colombes",,  50.467282,   3.798340,,,0
H1te186b,,"TERTRE Hôme Les Colombes",,  50.467009,   3.798772,,,0
H1te187a,,"TERTRE Le Manant",,  50.470154,   3.816192,,,0
H1te187b,,"TERTRE Le Manant",,  50.470232,   3.816622,,,0
H1te188a,,"TERTRE Place",,  50.467411,   3.812178,,,0
H1te188b,,"TERTRE Place",,  50.467356,   3.812356,,,0
H1te190a,,"TERTRE Rue Solvay",,  50.474357,   3.806421,,,0
H1te190b,,"TERTRE Rue Solvay",,  50.474145,   3.807063,,,0
H1te191a,,"TERTRE Usine Lescot",,  50.459760,   3.781200,,,0
H1te191b,,"TERTRE Usine Lescot",,  50.459293,   3.782347,,,0
H1te198a,,"TERTRE Chemin des Herbières",,  50.458460,   3.799355,,,0
H1te198b,,"TERTRE Chemin des Herbières",,  50.458404,   3.799591,,,0
H1th180a,,"THIEUSIES Chapelle",,  50.518916,   4.052508,,,0
H1th181a,,"THIEUSIES Place",,  50.515227,   4.048239,,,0
H1th182a,,"THIEUSIES Rue Gérard",,  50.526354,   4.061244,,,0
H1th183a,,"THIEUSIES Saisinnes",,  50.525433,   4.035099,,,0
H1th183b,,"THIEUSIES Saisinnes",,  50.525317,   4.035447,,,0
H1tl119a,,"THULIN Place",,  50.428102,   3.740496,,,0
H1tl119b,,"THULIN Place",,  50.429189,   3.739381,,,0
H1tl120a,,"THULIN Prince Charles",,  50.429164,   3.746730,,,0
H1tl120b,,"THULIN Prince Charles",,  50.429240,   3.746377,,,0
H1tl121a,,"THULIN Saint-Homme",,  50.418924,   3.742737,,,0
H1tl121b,,"THULIN Saint-Homme",,  50.418648,   3.746678,,,0
H1tl122a,,"THULIN Lecomte",,  50.428703,   3.737062,,,0
H1tl122b,,"THULIN Lecomte",,  50.428614,   3.737209,,,0
H1to151a,,"THORICOURT Château d' Auxy",,  50.611502,   3.955603,,,0
H1to151b,,"THORICOURT Château d' Auxy",,  50.611624,   3.954580,,,0
H1to152a,,"THORICOURT Gare Vicinale",,  50.607937,   3.953924,,,0
H1to153a,,"THORICOURT Noir Jambon",,  50.622912,   3.977452,,,0
H1to153b,,"THORICOURT Noir Jambon",,  50.622880,   3.977178,,,0
H1to153c,,"THORICOURT Noir Jambon",,  50.622899,   3.976307,,,0
